N_FEATURES,DENSE,NUM_SAMPLES,NUM_CLUSTER,SPATIAL_PYRAMID,SOFT_ASSIGNMENT,BETA,K_NEIGHBORS,KNN_ACCURACY,LINEAR_SVM_ACCURACY,GAUSSIAN_SVM_ACCURACY,ECOC_SVM_ACCURACY
150,True,100000,80,False,False,0.01,7,0.5353433835845897,0.5065326633165829,0.6576214405360133,0.6469011725293132
150,True,100000,80,False,True,0.01,7,0.4710217755443886,0.46867671691792295,0.5735343383584589,0.5829145728643216
150,True,100000,80,True,False,0.01,7,0.5795644891122278,0.6971524288107203,0.7031825795644892,0.6438860971524288
150,True,100000,80,True,True,0.01,7,0.5065326633165829,0.626465661641541,0.6365159128978225,0.5618090452261306
